11:12:22.129 logback-com.modules [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
11:12:22.288 logback-com.modules [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
11:12:22.702 logback-com.modules [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8001"]
11:12:22.855 logback-com.modules [main] INFO  c.m.bootapplication.BootApplication - Started BootApplication in 27.624 seconds (JVM running for 28.908)
11:12:35.276 logback-com.modules [http-nio-8001-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:12:36.156 logback-com.modules [http-nio-8001-exec-1] INFO  c.m.b.modules.api.LoginController - 调微信成功
11:12:36.156 logback-com.modules [http-nio-8001-exec-1] INFO  c.m.b.modules.api.LoginController - WechatId==o5LWV5NMCEL7X_5ovPr95b6eccpE
11:12:36.189 logback-com.modules [http-nio-8001-exec-1] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
11:13:23.540 logback-com.modules [http-nio-8001-exec-6] INFO  c.m.b.modules.api.LoginController - 调微信成功
11:13:27.537 logback-com.modules [http-nio-8001-exec-6] INFO  c.m.b.modules.api.LoginController - WechatId==o5LWV5NMCEL7X_5ovPr95b6eccpE
11:17:51.320 logback-com.modules [SpringContextShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
11:18:04.086 logback-com.modules [main] INFO  c.m.bootapplication.BootApplication - Starting BootApplication on v_vllchen-PC0 with PID 26544 (E:\ideaProject\wx-bootapplication\bootapplication\target\classes started by v_vllchen in E:\ideaProject\wx-bootapplication\bootapplication)
11:18:04.089 logback-com.modules [main] INFO  c.m.bootapplication.BootApplication - No active profile set, falling back to default profiles: default
11:18:06.468 logback-com.modules [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
11:18:06.469 logback-com.modules [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
11:18:06.470 logback-com.modules [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
11:18:06.603 logback-com.modules [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
11:18:07.161 logback-com.modules [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
11:18:07.237 logback-com.modules [cluster-ClusterId{value='5f03e96fa149804a5299e4eb', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:5}] to localhost:27017
